Double_Up,No_Up,Single_Up,Num_D,Num_N,Num_S
0.1254964214749158,0.016785207768729923,0.034045205263395356,1,1,1
0.11017511557786369,0.021162720918791296,0.04042091508027498,1,1,1
0.11635558716773328,0.01728288860245622,0.040963390103268216,1,1,1
0.12459657722148673,0.023991290718917806,0.03418800906583492,1,1,1
0.09890671908635959,0.021064256608131347,0.04217085202605687,1,1,1
0.10207521689420371,0.0211276399459192,0.040788902173007915,1,1,1
0.11090261151850461,0.01901144763150734,0.03697304714414987,1,1,1
0.1072191013472799,0.022815456687562484,0.039753778010571304,1,1,1
0.1148868802200749,0.018700218504651,0.033332473617769746,1,1,1
0.1267365608388014,0.023337726551436913,0.03812518320479692,1,1,1
0.12413018465437956,0.019635009699618577,0.032470334111503296,1,1,1
0.12064009506628498,0.022031984287385467,0.03831368665099753,1,1,1
0.11265096121648072,0.015746637275513578,0.03422501806894274,1,1,1
0.12223996652656338,0.014449425665526842,0.04115901496202075,1,1,1
0.11463217187203964,0.02104789581997086,0.033841377337793646,1,1,1
0.106693392695418,0.025270752078814518,0.03459579651391726,1,1,1
0.12457654567322486,0.023303498878078494,0.040964602350877746,1,1,1
0.10211179487945202,0.019799717051901835,0.037076501023791446,1,1,1
0.10562278578141177,0.023023076292235538,0.029392650314120163,1,1,1
0.12200029429247311,0.017477447528433318,0.03771406309723763,1,1,1
0.10251631746451727,0.017878345840573757,0.03060729611694616,1,1,1
0.11074227728732376,0.022935560277127905,0.04114554878931251,1,1,1
0.11260798153852866,0.020015135598020328,0.03584523431286202,1,1,1
0.10655228897526878,0.01975303335096928,0.039886537530006136,1,1,1
0.1035937767831247,0.017782600667517544,0.03172734914327847,1,1,1
0.12063601239800499,0.020019173536493046,0.032618122250667056,1,1,1
0.11160178954313377,0.020594949010799786,0.032857188975058016,1,1,1
0.11170758405102454,0.020255179465893412,0.041702642240423575,1,1,1
0.1029749950454133,0.016929313929951187,0.03406534943053431,1,1,1
0.11532911913364155,0.02151966743918901,0.03986009322680594,1,1,1
0.10093224508780226,0.023800223889192486,0.03612509769844917,1,1,1
0.10454965603693625,0.016975926319352314,0.036916016458736337,1,1,1
0.11612652924180462,0.01947722582737797,0.03258412147776303,1,1,1
0.11240274076624704,0.01977312425771234,0.030945542569379605,1,1,1
0.13065845934644452,0.018996284775802466,0.03759271616578867,1,1,1
0.12267597576190939,0.01749748181627906,0.039301081820105506,1,1,1
0.11693249105154999,0.019156705409599684,0.03755476717809135,1,1,1
0.10654771670279307,0.019610823783742428,0.03646276656156444,1,1,1
0.10261221979060156,0.022501620822706767,0.030762188450133815,1,1,1
0.11548504408664911,0.0218465869889039,0.0342942174447366,1,1,1
0.11490146179420045,0.02220076657814496,0.03316408912652952,1,1,1
0.11380392341048812,0.021529374971488987,0.03528848528364549,1,1,1
0.10921244615677353,0.01856454336978626,0.03400110331113988,1,1,1
0.12111358246075268,0.021251701048852337,0.03734262139686001,1,1,1
0.1157049459227546,0.019968953343915206,0.03169008739684825,1,1,1
0.12058140490149578,0.021671856067987657,0.04534952527820298,1,1,1
0.1160487437137094,0.018170959967950404,0.03388600707909022,1,1,1
0.11715558226549674,0.01833718531180198,0.035688996732542,1,1,1
0.1030710864321697,0.018969783104176054,0.027511236965230723,1,1,1
0.11412888657146913,0.016574702752320654,0.03511201415286467,1,1,1
0.10920785888415717,0.030164595743209077,0.03714847018602381,1,1,1
0.11985703092459357,0.02285571949711855,0.039179667018018685,1,1,1
0.12461362302598093,0.02161183700448318,0.03246910733258086,1,1,1
0.11163435725330195,0.022356065103725033,0.03065353931870877,1,1,1
0.11517571464200599,0.021140625448283233,0.03262883652754288,1,1,1
0.11573990134805931,0.018757499073559544,0.03637465451395316,1,1,1
0.10409685314535261,0.02106323308367256,0.0315318251501948,1,1,1
0.12263187892085742,0.020424216466244045,0.033456318032913754,1,1,1
0.10229219550034883,0.02299385348803408,0.03224198336217138,1,1,1
0.1162433223597579,0.020935953779174163,0.04045122265984104,1,1,1
0.10715890295708061,0.017723352439391805,0.030974180878770935,1,1,1
0.11141342889544585,0.023739026358568407,0.03852706987810842,1,1,1
0.11831203793515536,0.02207473808395967,0.03200838827712804,1,1,1
0.12234863106314157,0.022473065830402813,0.03156647564870095,1,1,1
0.11899036949734562,0.022065436374166896,0.03771036822498782,1,1,1
0.11638270982244059,0.02242031148023484,0.03668559943470452,1,1,1
0.1224713085942343,0.02096443869137505,0.030199038129917588,1,1,1
0.1103093101802296,0.022371221362433167,0.04255627204240893,1,1,1
0.12342284102624428,0.021266018815019,0.03724586639093028,1,1,1
0.11241020866298339,0.026748844898839413,0.03636614027471796,1,1,1
0.1103768222161211,0.02475683805860257,0.03842431830395604,1,1,1
0.11187807568548519,0.020288370966416537,0.040603914691532045,1,1,1
0.11741316010106363,0.022292063615411476,0.03782940000335987,1,1,1
0.1290859638689582,0.019444841024268716,0.03154316413680458,1,1,1
0.1063091195636968,0.019630881307031407,0.04029267199600263,1,1,1
0.12186809493033081,0.021249287987248035,0.035187040499752534,1,1,1
0.11172012914214793,0.020656270063712196,0.03324640900205223,1,1,1
0.12473189509254287,0.021269501675905574,0.02837984687611987,1,1,1
0.1145580465526642,0.021486928428899887,0.033336337593898153,1,1,1
0.11911830986836111,0.025732128111361115,0.03847276828932336,1,1,1
0.12746832404039304,0.022651169275293738,0.036739656128730605,1,1,1
0.12092557588201833,0.02060167618730458,0.037534876721957114,1,1,1
0.12046361360532946,0.018720012440496828,0.036150142728067255,1,1,1
0.10695199551603846,0.018367781991771304,0.0414140134668118,1,1,1
0.11295670864444729,0.0281198980577021,0.03092378624871186,1,1,1
0.11279923325732025,0.02358907050552759,0.03552848165050564,1,1,1
0.11775590586063966,0.019170060521027325,0.03773425567076016,1,1,1
0.10531524433292239,0.019628399652894653,0.03518907504121912,1,1,1
0.12123190554077484,0.01900901470988867,0.03333095348021625,1,1,1
0.12685844438851734,0.01991878170953745,0.03754079729651974,1,1,1
0.11777822875233257,0.019602948900055196,0.031630494921275176,1,1,1
0.12323947270777691,0.021071820340121315,0.03500153073878731,1,1,1
0.11645912759074029,0.023531375059632237,0.03798356889983558,1,1,1
0.11048492921320938,0.02226837946243577,0.03536154202662001,1,1,1
0.10983016141729919,0.019778859818070163,0.033460934366543196,1,1,1
0.11387562853744926,0.021834220811154298,0.034727936783991026,1,1,1
0.11649296715255654,0.023284197113761694,0.037100147202295805,1,1,1
0.1136696155499334,0.01856926917590271,0.03619462169544993,1,1,1
0.1140748698876872,0.023993309124221134,0.036275124141677356,1,1,1
0.11728963978545225,0.02085669209070632,0.02755890766593955,1,1,1
0.12554522846268365,0.019742620344216547,0.034090797636342686,1,1,1
0.1158661209036026,0.022143183132688562,0.03950894309300548,1,1,1
0.11990518184611025,0.01930775436782183,0.033951984166038715,1,1,1
0.12190133175235499,0.01908718354903717,0.03246201231847269,1,1,1
0.12218562143326132,0.021739223328356556,0.03538479787400221,1,1,1
0.10972765046667972,0.020014286238124464,0.035092821704969676,1,1,1
0.11068175862097426,0.018207684800981415,0.036088973370038746,1,1,1
0.11143819468853164,0.025116554862887622,0.0408116055035707,1,1,1
0.10198092931223007,0.018644540308611353,0.03627515037583271,1,1,1
0.11490271332788565,0.020201878034995294,0.03887761977767289,1,1,1
0.1045129822115956,0.023463777072987864,0.03171783979719816,1,1,1
0.10682422247499508,0.020657971989356417,0.0392080358404732,1,1,1
0.11086917203022703,0.020653611511300657,0.04426378291866287,1,1,1
0.11862804281620329,0.016086794175976162,0.03364530203865597,1,1,1
0.11449415765281913,0.018872541629407366,0.03912120080323327,1,1,1
0.11444800967068708,0.015556861626915292,0.034758866591357775,1,1,1
0.11340263744825202,0.018515922066870454,0.03517942728922732,1,1,1
0.11691351390180252,0.024355380678253727,0.03344735037842704,1,1,1
0.11559269835348725,0.02115215766901645,0.03875132670805517,1,1,1
0.10582106448583212,0.01499236834831994,0.032806535436856285,1,1,1
0.12232605228666661,0.021570076015532416,0.041266155095512215,1,1,1
0.11989994752503619,0.019374037169378765,0.0383796333785035,1,1,1
0.11382548817483173,0.02100908836733968,0.03438430875425754,1,1,1
0.12021480118994135,0.017498646324650043,0.03698827204281961,1,1,1
0.11897314587539784,0.01642592496682778,0.03537961938407227,1,1,1
0.11499472514823403,0.021627334017105336,0.039246033945072416,1,1,1
0.10256163647677562,0.01967852996747891,0.035048375843687495,1,1,1
0.10295608156991923,0.021193255314033183,0.03109344654357324,1,1,1
0.11932799883630409,0.019534406986515936,0.03587941746536622,1,1,1
0.11435442226131871,0.017775297019335758,0.03512332636110471,1,1,1
0.10011385844601804,0.023946391651261265,0.03920610653860559,1,1,1
0.11135014660639803,0.01765748532196174,0.031809177780968145,1,1,1
0.1131594127298989,0.019684737350781516,0.03924558565259963,1,1,1
0.11541861115282523,0.019951180481791984,0.032564275839638585,1,1,1
0.11350321296716333,0.02394707951362684,0.034610160497351244,1,1,1
0.11501077188827728,0.019215794599410477,0.033901278647659204,1,1,1
0.10765320119137504,0.017863561694843808,0.027932327733671908,1,1,1
0.1244039514181633,0.022148080186138955,0.040096897147577186,1,1,1
0.11575360834815382,0.019993688299657475,0.0318409301033042,1,1,1
0.11156992407545976,0.021266090313685843,0.03638721169121659,1,1,1
0.11609061024908643,0.0201970448049097,0.0398810171844084,1,1,1
0.1208732242263466,0.01992805381006973,0.032453290908677004,1,1,1
0.1196868936087611,0.01978252571200602,0.035875895849861075,1,1,1
0.11750669085507283,0.02107703846493527,0.03653142179968187,1,1,1
0.11486534563638187,0.02284124128307434,0.034343899002601846,1,1,1
0.1082572507693589,0.019906475304368853,0.04355354240368246,1,1,1
0.1141032762833632,0.019679339815429783,0.0362828081566326,1,1,1
0.11375328228908901,0.02107828956118102,0.03556184229553894,1,1,1
0.11131921880205436,0.021870712324113216,0.029380691177707884,1,1,1
0.10325802067625181,0.020432751475541473,0.03461469422871394,1,1,1
0.11164568514767435,0.018546124796969203,0.03689122829441392,1,1,1
0.10915660544095604,0.01974710044787371,0.035921088719719226,1,1,1
0.11891126402630595,0.017708739839949274,0.028220299633955146,1,1,1
0.12349055749540848,0.026686386894770417,0.035023290190562675,1,1,1
0.11892982707339543,0.02114065090014374,0.032371908514863,1,1,1
0.12330568451180604,0.02501902885463016,0.035204813256836276,1,1,1
0.12075288701159656,0.018807963261988317,0.035929481513759326,1,1,1
0.11070136929813071,0.021433403380155744,0.03622732311406772,1,1,1
0.1105655812021783,0.020917082408422577,0.04057133408566053,1,1,1
0.11789931263178763,0.01818828710137235,0.037739728618053164,1,1,1
0.10857937970857336,0.020302008411802984,0.03811410400947446,1,1,1
0.11685079702681651,0.0205491782217571,0.03377405077069444,1,1,1
0.11012951191623402,0.020287238050233095,0.03707519030750918,1,1,1
0.10254157921244143,0.02367072553561833,0.03220319157579439,1,1,1
0.1228576755155476,0.021821124402907524,0.03351518414483559,1,1,1
0.10140182290819519,0.019915858101302638,0.035942868883090756,1,1,1
0.11573874733542835,0.019679165245822746,0.03728572328182283,1,1,1
0.11057351618610617,0.01779686549406473,0.03499936810018738,1,1,1
0.1113706455429271,0.019677086388888702,0.03084494591770921,1,1,1
0.10646944920732118,0.021223957705789352,0.03468767634849908,1,1,1
0.11361525025241086,0.01993045888417157,0.041503008914028146,1,1,1
0.11690125164666641,0.021175428090900304,0.03569517329776001,1,1,1
0.11274348122736502,0.0183093381029772,0.03293382482909226,1,1,1
0.11337042159849894,0.018894018705128635,0.034931374185104884,1,1,1
0.11288447727106958,0.02077474271208118,0.02946270180739668,1,1,1
0.12058823492850193,0.027475609555591703,0.029099675588870257,1,1,1
0.11673684443320312,0.021855798708288278,0.03616524471216219,1,1,1
0.11345325170367568,0.024061874315514212,0.034717276482356,1,1,1
0.122280067808817,0.020960942716114803,0.035618823211079426,1,1,1
0.11438144172126699,0.019456932537495416,0.032461659395128316,1,1,1
0.10782072777593052,0.02082802056948145,0.03835182587917407,1,1,1
0.11041892125269867,0.01856886800212009,0.03510865507663235,1,1,1
0.10395236372511464,0.017470771595105128,0.032419215405525184,1,1,1
0.10631264755534411,0.025340781230941828,0.02576023980519577,1,1,1
0.10368041367919158,0.019342305130253853,0.0371484015398113,1,1,1
0.10809792401384953,0.022792367861069966,0.03003484877468529,1,1,1
0.09840418077171065,0.017563622789117155,0.03253617885492853,1,1,1
0.1180065770322328,0.01971335593553552,0.03389721289717881,1,1,1
0.11555085616287829,0.018388673835247126,0.03434614078712386,1,1,1
0.11446670320367094,0.025873476621119156,0.038249768661553996,1,1,1
0.11324538299208248,0.019712043982197468,0.033739869198688426,1,1,1
0.11379160627761677,0.021799921524432005,0.0325247669703736,1,1,1
0.12770807019170477,0.018114250058239457,0.03858765957860631,1,1,1
0.11560645393557897,0.01754829042364004,0.03616989284495567,1,1,1
0.11945687250790482,0.020734544416263576,0.03474411663323917,1,1,1
0.10886592667128914,0.025253794975947166,0.036229775100263685,1,1,1
0.12690683840184336,0.025336869741696716,0.031672908810020856,1,1,1
0.11362705617095809,0.021321162383196136,0.03453873928062332,1,1,1
0.10661306123509999,0.017296738649799113,0.03518271071154683,1,1,1
0.11009307479302963,0.018695052753908332,0.03180134654686761,1,1,1
0.11070535321724297,0.01793248067848817,0.03634228326364115,1,1,1
0.11355611183598449,0.019780351240320414,0.039037585414061465,1,1,1
0.12040385620094175,0.018543474595296452,0.03950714432590467,1,1,1
0.112991799683823,0.021829994574640833,0.037138965279401345,1,1,1
0.10428854211839257,0.021128526643369186,0.03720367501069837,1,1,1
0.11105831226422508,0.017439428815113123,0.03385801951783439,1,1,1
0.1054012556810037,0.018522927271479257,0.029364122524258154,1,1,1
0.11668835968878769,0.01953425148873053,0.033294488939433965,1,1,1
0.11092392263791365,0.018366691498971632,0.038330260791789444,1,1,1
0.104273679297195,0.019729106225178417,0.03318937208549941,1,1,1
0.12648783573867337,0.018930790457219647,0.03190455292584105,1,1,1
0.11209765494335928,0.019020165312160026,0.03551859285324018,1,1,1
0.10707802895104196,0.020121966740328397,0.03550515434623644,1,1,1
0.11353785184277024,0.02195263262254169,0.04115496433128951,1,1,1
0.11732189574802851,0.020103558429391807,0.0393609935976932,1,1,1
0.11859124952779398,0.02653654177327351,0.03443569556198457,1,1,1
0.11652110756706405,0.01858309804142207,0.03780620420908823,1,1,1
0.11451579849880739,0.022518499149864476,0.037874595231016356,1,1,1
0.12170801085479857,0.01895499818531704,0.034254543314639174,1,1,1
0.10737874481549284,0.02466193871553548,0.03931394769436635,1,1,1
0.11714263193582594,0.021769799779146705,0.043118708199789114,1,1,1
0.10699033381481587,0.02419359957674437,0.033299805014295206,1,1,1
0.11219478373640432,0.019498084245119427,0.03586967008221894,1,1,1
0.10459220619791033,0.018587741717824353,0.03542975580531921,1,1,1
0.10819920824535836,0.01798852105612243,0.03544007441606344,1,1,1
0.10423063152271389,0.02049558071923704,0.033238618270070394,1,1,1
0.10500689895184737,0.01909482016690356,0.033453423916808694,1,1,1
0.12173393467117559,0.022438883325998152,0.03638773766674001,1,1,1
0.11434947044727684,0.02118242067481881,0.03370226555716832,1,1,1
0.11009542520117659,0.017756872289745092,0.037850152615434715,1,1,1
0.10819330240639043,0.022961648564280297,0.03682741701150992,1,1,1
0.10348309813717876,0.023087705821491295,0.030921533332834393,1,1,1
0.10410048287517817,0.01744329452914053,0.03689000355287152,1,1,1
0.11431149037740923,0.021089053102232684,0.03696341947871097,1,1,1
0.11319028706198285,0.020642156111824704,0.036150788302825074,1,1,1
0.1255749914137765,0.023273942181909875,0.0365220778004973,1,1,1
0.11766768353571885,0.01941163321591117,0.0312948120163757,1,1,1
0.11571798608798678,0.021843754129292847,0.032610886701248704,1,1,1
0.11648754148525822,0.018683243690865957,0.034228503212635986,1,1,1
0.11528803829535184,0.023676874406466916,0.03647036443530974,1,1,1
0.11220777033667811,0.018370997218622884,0.030555281067946114,1,1,1
0.11848365624779239,0.020634576286893906,0.03904113686552464,1,1,1
0.12404878552137673,0.01683882845920965,0.03959065693853673,1,1,1
0.10994076705014039,0.021309503234121903,0.0380522869984945,1,1,1
0.1175646507499786,0.019216816984157316,0.03529034444166195,1,1,1
0.12033456665580103,0.02205921913000719,0.031418197404186346,1,1,1
0.11770380148425469,0.022681765670823462,0.04021219100285661,1,1,1
0.11016769554424702,0.025405432586848818,0.03723135436421722,1,1,1
0.0956920793726451,0.015905969217943523,0.03441999732063444,1,1,1
0.11913045934625728,0.022224400507480598,0.03129102266572491,1,1,1
0.11117504591885574,0.016789198879211986,0.03297578308749029,1,1,1
0.1152899573481085,0.02245961562939805,0.041634417919322826,1,1,1
0.12083505165095128,0.015555541672631686,0.033612425793141755,1,1,1
0.1179969822314812,0.017521434855528633,0.030645400735364668,1,1,1
0.1151785384199533,0.01997984738565232,0.0394794211677907,1,1,1
0.11938314529716774,0.017456811354639393,0.040522221740714334,1,1,1
0.11234620456845745,0.020405241040672806,0.034874683806938894,1,1,1
0.11216030807532193,0.01638330062193089,0.03780678093457882,1,1,1
0.10726699413151297,0.024640133925076142,0.03110119583333941,1,1,1
0.11852236484073367,0.02317985257191015,0.03539333761055974,1,1,1
0.11705684924755448,0.01559745398505629,0.038339056885014405,1,1,1
0.11509234445917062,0.02099267377046627,0.037916904118976066,1,1,1
0.11395276108475633,0.017587038813987137,0.03585726348609944,1,1,1
0.12284731737715364,0.017041913737008092,0.03781298565486148,1,1,1
0.11600859941332536,0.02112150097205716,0.03718995747298261,1,1,1
0.11728933095875319,0.020000568971429388,0.03702902856052739,1,1,1
0.1012772229965008,0.021209720356246076,0.033018895984651575,1,1,1
0.11686202799278189,0.01667230197332743,0.033635700382394926,1,1,1
0.11673601645591644,0.025867320421064544,0.0357931020792238,1,1,1
0.1143021716386734,0.019612260546886532,0.040053378168726866,1,1,1
0.1240577890506141,0.020749203152981115,0.03174809639579229,1,1,1
0.11261935325214718,0.02377988219005401,0.03558024813063044,1,1,1
0.11363567132878404,0.01727066473645526,0.03411109426948592,1,1,1
0.11251647784587995,0.019133555254981928,0.03976907302960837,1,1,1
0.09803544394300912,0.019614621036148982,0.03999235212950222,1,1,1
0.12142399333014496,0.020934483207907834,0.03495895520499069,1,1,1
0.1128822866189987,0.01835071015287599,0.03431178742414086,1,1,1
0.11415867962332711,0.022575673170495615,0.03184994167692533,1,1,1
0.11406582400814727,0.02036525247489423,0.031414037458817025,1,1,1
0.10442128118380051,0.02272163181463136,0.029311205067303434,1,1,1
0.11482644596559824,0.01824231603069399,0.029784303166383305,1,1,1
0.12232536343145736,0.015536353323685265,0.03407014686671548,1,1,1
0.10514080574703294,0.024190527430785546,0.03771618856958877,1,1,1
0.1108020789646192,0.021694338613501528,0.03457359890797368,1,1,1
0.121085542059657,0.020954700106683797,0.030870431446535514,1,1,1
0.11203441210260906,0.02274476934775467,0.028861451488744215,1,1,1
0.11418972055244192,0.023474395483798184,0.03800603257052915,1,1,1
0.11177103104151195,0.02264824739834772,0.03661673395491484,1,1,1
0.10058540299983686,0.01853598551797305,0.038082460231454826,1,1,1
0.11662714992045045,0.024251299040433678,0.039108677697656774,1,1,1
0.11566317136895451,0.017941542973530254,0.03634716159502352,1,1,1
0.1133873233207965,0.02170203758578493,0.03541292619368701,1,1,1
0.10284981906966222,0.02225662936103408,0.03149049738490524,1,1,1
0.1164953342110549,0.023400707762002215,0.03136474057734442,1,1,1
0.11111111215641367,0.019673615052870574,0.032109470800731815,1,1,1
0.11309352098321243,0.02090237718032893,0.03981445200837841,1,1,1
0.12075012648393615,0.017435973176844293,0.04127104028849973,1,1,1
0.11707501909880946,0.0211011720460777,0.03498965060310197,1,1,1
0.11212957035459781,0.023805434666971034,0.03910183383362253,1,1,1
0.11495036422796426,0.021747325925017953,0.03794520518456432,1,1,1
0.0971380012632032,0.020434914599543847,0.03659441243202779,1,1,1
0.12153817744472337,0.017130316124228037,0.04013105524961284,1,1,1
0.11665966637090372,0.02213170868252054,0.031526962427653536,1,1,1
0.11696155708967082,0.018960335938074398,0.0322489778694682,1,1,1
0.10382459445261545,0.02408443026418419,0.039267427586924336,1,1,1
0.12019019437116535,0.020764424269802035,0.037634263566858034,1,1,1
0.11005875946044341,0.02084539147320004,0.03499074017770268,1,1,1
0.11086872365753422,0.017590950233467385,0.039859126811267555,1,1,1
0.10381343192566028,0.022382942428105512,0.031317770672934946,1,1,1
0.11680196733570063,0.01640590646491521,0.03847542509522456,1,1,1
0.11086027500541437,0.02502630235421527,0.036081466346519514,1,1,1
0.10760029963703552,0.02246529008672124,0.03322878270133575,1,1,1
0.11097803028488712,0.016437517119666546,0.03771638999005092,1,1,1
0.11472418290556526,0.01867217554717279,0.033985166732010824,1,1,1
0.11042152196157651,0.018291833782119692,0.03550026701835704,1,1,1
0.12128941633527181,0.018854042913232845,0.03260601015148156,1,1,1
0.10297270998903922,0.021420611817341156,0.026708340119472707,1,1,1
0.11379688221048538,0.017669345286572234,0.032384368933733435,1,1,1
0.11144205916198713,0.020236436231835603,0.028829297038508773,1,1,1
0.11801392191981608,0.0200639344615961,0.0402029216874667,1,1,1
0.10778668761581578,0.019026317929228483,0.03323760453491678,1,1,1
0.11338356635207403,0.01682673546471116,0.03693012999790728,1,1,1
0.11880327601432944,0.02237200224529825,0.0373563781619298,1,1,1
0.09824017535930138,0.01924802527772649,0.0359343338334747,1,1,1
0.11375882884727706,0.017120646100812015,0.03332128895004663,1,1,1
0.12382269120173864,0.02118378414526715,0.03139245772481828,1,1,1
0.11162089775528214,0.022513568065722325,0.03485349282240477,1,1,1
0.11242213777659199,0.01772120732080671,0.03523951237265481,1,1,1
0.11086307571580058,0.023837259491944183,0.032758927930822884,1,1,1
0.12429888588195301,0.014843732492641783,0.03147017534868332,1,1,1
0.11552061588878754,0.021538280481012605,0.02529885402955629,1,1,1
0.11488635011103322,0.023207761998446323,0.03851293813807734,1,1,1
0.10751780111296264,0.025758493259739338,0.0355723000440669,1,1,1
0.11170243547304483,0.01841358247458152,0.03259736432062563,1,1,1
0.10202253631218902,0.020652345172267977,0.03741556066752001,1,1,1
0.1095457892639788,0.020138387925703806,0.03971081905248695,1,1,1
0.11833149401979987,0.021284750179855115,0.04116990132313346,1,1,1
0.10935312362733737,0.023082936521991858,0.03310875423577012,1,1,1
0.11322403148508631,0.025251520700454926,0.03435341876732911,1,1,1
0.10675258307476146,0.020804465184742674,0.03228283909844207,1,1,1
0.11584913181509063,0.0217077515390664,0.030217771785557408,1,1,1
0.10487355502086564,0.019535105123523522,0.034697157562296105,1,1,1
0.11568302122994638,0.021228688450844056,0.03279343445955268,1,1,1
0.11592908662398063,0.018807279358974083,0.03649557620812435,1,1,1
0.12148272118987331,0.017663375945608194,0.03927978168336686,1,1,1
0.11223388601877046,0.02072934982004438,0.03817881795336096,1,1,1
0.11468921628168408,0.017929311273282372,0.03578550333583243,1,1,1
0.11266060404963227,0.018823202170345242,0.032134671867989434,1,1,1
0.1136247856832856,0.02008009838306023,0.0417281785437156,1,1,1
0.1166052557651464,0.021083164257528167,0.033769645300171666,1,1,1
0.11999454086176702,0.0179961552996305,0.031166792403996876,1,1,1
0.12970148091365635,0.01702378914868885,0.036142272569597456,1,1,1
0.12084558146663157,0.02456224597608606,0.029154531764575276,1,1,1
0.10750910078530776,0.01801190583849816,0.037874757595020146,1,1,1
0.12199103847772289,0.018558514471762683,0.04044936335452933,1,1,1
0.1108511490823922,0.018534142765018014,0.03683584250878302,1,1,1
0.10727966683152604,0.019343634854261302,0.036325174942864316,1,1,1
0.11836599649051036,0.019602595376571115,0.03181077991215353,1,1,1
0.11755503823396139,0.021652351056997234,0.03557058920042722,1,1,1
0.11770741057701424,0.025643434799529498,0.03470977670168934,1,1,1
0.1251449980369147,0.021129624716115313,0.034761393362594734,1,1,1
0.11037299389792962,0.02434974470119599,0.037347502081213436,1,1,1
0.11711366540854574,0.020614386005447412,0.03712749914150047,1,1,1
0.10528795835894653,0.019387475181132197,0.032779320554097297,1,1,1
0.11258994880709516,0.02343227084612808,0.03669058265814308,1,1,1
0.10947639648414932,0.02036973463799781,0.0342960690874033,1,1,1
0.1048844741286531,0.01991820084457113,0.039181694689927035,1,1,1
0.123820373810872,0.019326681678317303,0.03055463153707735,1,1,1
0.12285386955867324,0.018473526000424092,0.03850800358353039,1,1,1
0.12082696639465228,0.02371880202441915,0.035591024375682304,1,1,1
0.10949917056507008,0.018143759250871132,0.04051210856652836,1,1,1
0.12042895150938245,0.019695803369880895,0.03553973208533005,1,1,1
0.11024399421225214,0.01876423324092295,0.03777157244076891,1,1,1
0.11404009458140354,0.019158284072262055,0.03514710101062897,1,1,1
0.11845238845438148,0.02132203563385258,0.04064449013860348,1,1,1
0.11690168005061831,0.01765953090055936,0.030579337681370236,1,1,1
0.1145577966096373,0.018924341443629644,0.04247161825510045,1,1,1
0.1305564126165181,0.020650258669555867,0.04090498098628546,1,1,1
0.13186268918532615,0.024036433884442238,0.027604771323314386,1,1,1
0.11167187010059942,0.021138009948870648,0.034678047736787065,1,1,1
0.1052848014682333,0.019419779072100317,0.03232260255590111,1,1,1
0.11533924276249223,0.017041039474872868,0.033628004773580286,1,1,1
0.10233009162765883,0.0199611190062011,0.040427077383154736,1,1,1
0.10697650999302671,0.018314374094158196,0.035501753365979806,1,1,1
0.11112765104800984,0.02470761403055744,0.02968878055974382,1,1,1
0.11743543204718171,0.01830888018736409,0.033545391719328244,1,1,1
0.10230950912685094,0.019527338999027803,0.03237937086952006,1,1,1
0.11974040710919129,0.021252189490214665,0.033287888152574656,1,1,1
0.11676423233546551,0.017985134381225832,0.033873077086508024,1,1,1
0.12065386450520779,0.018111100834547575,0.03321982386009162,1,1,1
0.11387007663445514,0.020589958751706446,0.03557045019230891,1,1,1
0.11259813195923227,0.01568549525616064,0.03427671688968497,1,1,1
0.11642280371402856,0.017867809530653332,0.029333603340596377,1,1,1
0.12404672601989919,0.016687531780798754,0.03330830482623275,1,1,1
0.10142898537140219,0.02170921093823388,0.03428199031198669,1,1,1
0.10661074443390313,0.020408185284443235,0.03601144873093472,1,1,1
0.1142456704222884,0.021842543414920743,0.03500191692460012,1,1,1
0.11595485020155423,0.01931512693674853,0.0415084219076326,1,1,1
0.12330874960527285,0.02259784453429697,0.032651770927151755,1,1,1
0.11333712757376838,0.022439249817252704,0.039643611797531814,1,1,1
